model,frames,cls_head,finetuned,acc[mean],acc[std],acc@5[mean],acc@5[std],f1[mean],f1[std],dataset
uniformerv2,16,mlp,True,0.4693432928727046,0.00044015361418396826,0.8786181139122315,0.0,0.33402056645319744,0.001672077106271219,football
uniformerv2,32,randomforest,True,0.4662309368191721,0.0015869964250210915,0.8870214752567693,0.0,0.3183299442373259,0.0062725208405014195,football
uniformerv2,32,svm,True,0.453781512605042,0.0,0.8776844070961718,0.0007623684229017022,0.3430589370386412,0.0,football
uniformerv2,32,mlp,True,0.44911297852474324,0.0007623684229017022,0.8842203548085901,0.0013204608425519048,0.3190081837079802,0.0019165215556541117,football
mvitv2,8,randomforest,True,0.26361655773420484,0.0008803072283679365,0.7258014316837845,0.003912170896351226,0.05869921821496162,0.0006863988785528671,football
mvitv2,8,svm,True,0.30158730158730157,0.0,0.7475879240585123,0.00044015361418396826,0.03703114054140788,0.0,football
mvitv2,8,mlp,True,0.3006535947712418,0.0,0.7450980392156863,0.0,0.03082077051926298,0.0,football
mvitv2,16,randomforest,True,0.27980080921257394,0.0022007680709198413,0.7033924680983504,0.004901343214448718,0.08465821913175886,0.002739603718421816,football
mvitv2,16,svm,True,0.3006535947712418,0.0,0.7454092748210396,0.00044015361418396826,0.03082077051926298,0.0,football
mvitv2,16,mlp,True,0.29971988795518206,0.0013204608425519048,0.7450980392156863,0.0,0.033081932580703986,0.0031977660540133727,football
videomaev2,32,randomforest,True,0.5788982259570494,0.003961382527655767,0.9100529100529101,0.0054086981627708385,0.47998138978131283,0.004678253774236865,football
videomaev2,32,svm,True,0.5751633986928104,0.0,0.9265483971366324,0.001760614456735873,0.4737387776294694,0.0,football
videomaev2,32,mlp,True,0.5723622782446312,0.0,0.9203236850295674,0.00044015361418396826,0.4688619766853113,0.00022774747436718392,football
uniformerv2,8,randomforest,True,0.6973125884016973,0.004000604136840419,0.9655822725129655,0.003528201213365322,0.5544211444150796,0.010174277560931472,aerobic_gymnastics
uniformerv2,8,svm,True,0.7057991513437057,0.0,0.9660537482319661,0.002309749875325992,0.5659058129865167,0.0,aerobic_gymnastics
uniformerv2,8,mlp,True,0.6954266855256955,0.0006667673561400961,0.9627534181989628,0.0006667673561400437,0.5538119876678591,0.0007606903805393897,aerobic_gymnastics
mvitv2,32,randomforest,True,0.2555398396982555,0.003528201213365342,0.7666195190947667,0.004163960804492154,0.15393775214960365,0.0024717115137414393,aerobic_gymnastics
mvitv2,32,svm,True,0.26449787835926447,0.0,0.7807637906647807,0.0011548749376629733,0.15934158455632627,0.0,aerobic_gymnastics
mvitv2,32,mlp,True,0.256011315417256,0.0,0.7496463932107497,0.0,0.15748246584519848,0.0,aerobic_gymnastics
videomaev2,16,randomforest,True,0.8986327204148986,0.00266706942456028,0.9924563884959925,0.0017641006066826807,0.7767946466001314,0.0029343995839053094,aerobic_gymnastics
videomaev2,16,svm,True,0.900990099009901,0.0,0.9872701555869873,0.0011548749376630188,0.7763666487173154,0.0,aerobic_gymnastics
videomaev2,16,mlp,True,0.8981612446958982,0.0,0.983026874115983,0.0,0.7728553511961728,0.0,aerobic_gymnastics
uniformerv2,16,randomforest,True,0.7557755775577558,0.0048081277827371986,0.9806694955209806,0.0006667673561400961,0.5901723602807245,0.00784502894772266,aerobic_gymnastics
uniformerv2,16,svm,True,0.7581329561527581,0.0,0.9825553983969826,0.0006667673561400437,0.6149585743533686,0.0,aerobic_gymnastics
uniformerv2,16,mlp,True,0.7595473833097595,0.0011548749376629733,0.9863272041489863,0.00133353471228014,0.6038368508914979,0.0003832210480965802,aerobic_gymnastics
uniformerv2,32,randomforest,True,0.7722772277227722,0.0023097498753259465,0.982083922677982,0.00133353471228014,0.6112200631633952,0.0002353526424811362,aerobic_gymnastics
uniformerv2,32,svm,True,0.7567185289957568,0.0,0.9816124469589816,0.0,0.596779344930384,0.0,aerobic_gymnastics
uniformerv2,32,mlp,True,0.7543611504007544,0.0006667673561400437,0.9764262140499764,0.0006667673561400961,0.6056971042075406,0.0005747041580120244,aerobic_gymnastics
mvitv2,8,randomforest,True,0.17256011315417255,0.005292301820048008,0.6072607260726072,0.0024040638913685884,0.09539336043331197,0.003809592722053114,aerobic_gymnastics
mvitv2,8,svm,True,0.17256011315417255,0.0,0.6105610561056105,0.0024040638913685884,0.06444422938848213,0.0,aerobic_gymnastics
mvitv2,8,mlp,True,0.16595945308816595,0.00133353471228014,0.5695426685525696,0.007689536270768575,0.049765499204924214,6.288554413509053e-05,aerobic_gymnastics
mvitv2,16,randomforest,True,0.24045261669024043,0.002309749875325958,0.694012258368694,0.004808127782737213,0.13323746950067558,0.0030231041786733088,aerobic_gymnastics
mvitv2,16,svm,True,0.24045261669024046,0.0,0.7166430928807167,0.0017641006066826804,0.12661625079570882,0.0,aerobic_gymnastics
mvitv2,16,mlp,True,0.23338048090523342,2.7755575615628914e-17,0.684111268269684,0.0006667673561400437,0.13659105884802203,1.6383510116433966e-05,aerobic_gymnastics
